=> use gpu id: '0'
Random Seed:  5260
===> Loading datasets
./dataset/LR_2/p2
lr: (64 48), hr: (256 192)
===> Building model: CARN
===> Setting GPU
===> Setting Optimizer
===> Training
Epoch=1, lr=0.0001
tensor(0.0002, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0003, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0003, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0004, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0005, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0006, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0006, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0007, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0008, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0009, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0010, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0011, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0012, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0014, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0015, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0016, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0016, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0017, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0018, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0018, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0018, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0018, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0018, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0018, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0019, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0025, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0026, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0026, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0025, device='cuda:0', grad_fn=<MeanBackward0>)
===> Epoch[1](30/450): SSIM Loss: 0.12785
tensor(0.0025, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0026, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0026, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0026, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0026, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0024, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0021, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0021, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0020, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0020, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0020, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0021, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0021, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
===> Epoch[1](60/450): SSIM Loss: 0.072325
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0022, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
tensor(0.0023, device='cuda:0', grad_fn=<MeanBackward0>)
